,name,age,season,hometown,occupation,result,city,state,job_category
34,Kristin Hopkins,27,25,"Virginia Beach, Virginia",Attorney,27,Virginia Beach, Virginia,Law
35,LaNease Adams,23,1,"Playa Del Rey, California",Actress,7,Playa Del Rey, California,Entertainment
36,Angelique Madrid,27,1,"Burbank, California",Actress,12,Burbank, California,Entertainment
37,Shayne Lamas,22,12,"Malibu, California",Actress,1,Malibu, California,Entertainment
38,Shira Astrof,32,16,"Massapequa Park, New York",Actress,25,Massapequa Park, New York,Entertainment
39,Camille Langfield,29,2,"Sherman Oaks, California",Actress,17,Sherman Oaks, California,Entertainment
40,Rhonda Rittenhouse,28,1,"Woodward, Oklahoma",Commercial Real Estate Agent,8,Woodward, Oklahoma,Sales and Real Estate
41,Seinne Fleming,27,22,"Long Beach, California",Commercial Real Estate Agent,6,Long Beach, California,Sales and Real Estate
42,Alexa Jurgielewicz,27,1,"Beverly Hills, California",Special Ed. Teacher,9,Beverly Hills, California,Education
43,Amy Anzel,28,1,"Yonkers, New York",Production Coordinator,10,Yonkers, New York,Entertainment
44,Angela Lowery,25,1,"Avondale, Arizona",Hooters Waitress,11,Avondale, Arizona,Service
45,Katie Sapienza,23,1,"Malden, Massachusetts",Power Tool Sales Rep.,13,Malden, Massachusetts,Sales and Real Estate
46,Melissa Reese,25,1,"Tempe, Arizona",Photographer,14,Tempe, Arizona,Entertainment
47,Noelle Drake,26,12,"Loveland, Colorado",Photographer,4,Loveland, Colorado,Entertainment
48,Hailey Merkt,23,21,"Vancouver, British Columbia",Photographer,20,Vancouver, British Columbia,Entertainment
49,Maquel Cooper,23,22,"American Fork, Utah",Photographer,12,American Fork, Utah,Entertainment
50,Alana Milne,26,25,"San Antonio, Texas",Photographer,25,San Antonio, Texas,Entertainment
51,Amber Johnson,29,1,"Los Angeles, California",Business Development Director,16,Los Angeles, California,Sales and Real Estate
52,Daniela Ferdico,30,1,"Seattle, Washington",Neuropsychologist,17,Seattle, Washington,Health
53,Denise,30,1,"Honolulu, Hawaii",Doctor,18,Honolulu, Hawaii,Health
54,Jackie Hucko,22,1,"Pittsburgh, Pennsylvania",Bar Manager,19,Pittsburgh, Pennsylvania,Service
55,Jill Gosser,31,1,"Chicago, Illinois",Retail Manager,20,Chicago, Illinois,Business
56,Hayley Crittenden,28,2,"Lake Oswego, Oregon",Retail Manager,5,Lake Oswego, Oregon,Business
57,Jenny Matthews,24,5,"Canton, Michigan",Retail Manager,16,Canton, Michigan,Business
58,Francine Jones,25,5,"Houston, Texas",Retail Manager,21,Houston, Texas,Business
59,Kristina Jenkins,27,1,"Chelsea, New York",Advertising Executive,21,Chelsea, New York,Sales and Real Estate
60,Sarah Herron,26,17,"Evergreen, Colorado",Advertising Executive,9,Evergreen, Colorado,Sales and Real Estate
61,Paula Oliveira,24,1,"Swansea, Massachusetts",Insurance Representative,23,Swansea, Massachusetts,Sales and Real Estate
62,Rachel Lanzilotto,29,1,"Eastchester, New York",6th Grade Teacher,24,Eastchester, New York,Education
63,Wendi Plotnik,26,1,"Dallas, Texas",Technology Specialist,25,Dallas, Texas,Business
64,Jennifer Wilson,24,9,"Pembroke Pines, Florida",Teacher,1,Pembroke Pines, Florida,Education
65,Jeanette Pawula,23,9,"Bloomingdale, Illinois",Teacher,6,Bloomingdale, Illinois,Education
66,Amber Alchalabi,23,10,"Sugar Land, Texas",Teacher,4,Sugar Land, Texas,Education
67,Lauren Wanger,27,13,"Marlboro, New Jersey",Teacher,6,Marlboro, New Jersey,Education
68,Sharon Staebell,32,13,"Batavia, New York",Teacher,14,Batavia, New York,Education
69,Julie Dermotta,26,13,"Columbus, Ohio",Teacher,20,Columbus, Ohio,Education
70,Ashley Elmore,29,14,"Pittsburgh, Pennsylvania",Teacher,13,Pittsburgh, Pennsylvania,Education
71,Michelle Young,27,25,"Woodbury, Minnesota",Teacher,2,Woodbury, Minnesota,Education
72,Sadie Murray,23,9,"Carlsbad, California",Publicist,2,Carlsbad, California,Entertainment
73,Becca Kufrin,27,22,"Prior Lake, Minnesota",Publicist,1,Prior Lake, Minnesota,Entertainment
74,Serena Pitt,23,25,"Markham, Ontario",Publicist,4,Markham, Ontario,Entertainment
75,Lisa Blank,25,9,"Portland, Oregon",Marketing manager,3,Portland, Oregon,Sales and Real Estate
76,Agnese Polliza,24,9,"Venice, Italy",Student,4,Venice, Italy,Student
77,Lindsay Smith,22,10,"Lawrence, Kansas",Student,24,Lawrence, Kansas,Student
78,Anna Snowball,25,16,"Grosse Pointe, Michigan",Student,21,Grosse Pointe, Michigan,Student
79,Jessica Bowlin,22,5,"Huntington Beach, California",Student,1,Huntington Beach, California,Student
80,Kristy Romero,25,5,"Dearborn, Michigan",Student,17,Dearborn, Michigan,Student
81,Jessica Kyron,21,5,"Cincinnati, Ohio",Student,23,Cincinnati, Ohio,Student
82,Jordan Branch,24,19,"Windsor, Colorado",Student,18,Windsor, Colorado,Student
83,Desiree Valentin,22,9,"Salt Lake City, Utah",Realtor,5,Salt Lake City, Utah,Sales and Real Estate
84,Ellen DeMaio,30,9,"New Haven, Connecticut",Realtor,10,New Haven, Connecticut,Sales and Real Estate
85,Tara Durr,24,9,"St. Augustine, Florida",Realtor,27,St. Augustine, Florida,Sales and Real Estate
86,DeAnna Pappas,25,11,"Newnan, Georgia",Realtor,1,Newnan, Georgia,Sales and Real Estate
87,Bettina Bell,27,11,"Washington, D.C.",Realtor,3,Washington, D.C.,Sales and Real Estate
88,Michele Leavy,30,11,"South Brunswick, New Jersey",Realtor,15,South Brunswick, New Jersey,Sales and Real Estate
89,"Kimberly ""Kim"" Orville",31,11,"Woodbridge, Connecticut",Realtor,18,Woodbridge, Connecticut,Sales and Real Estate
90,Caroline Lunny,26,22,"Holliston, Massachusetts",Realtor,15,Holliston, Massachusetts,Sales and Real Estate
91,Savannah Mullins,27,24,"Houston, Texas",Realtor,15,Houston, Texas,Sales and Real Estate
92,Emani Curl,25,25,"Albuquerque, New Mexico",Realtor,35,Albuquerque, New Mexico,Sales and Real Estate
93,Caitlin Clemmens,25,23,"Toronto, Ontario",Realtor,19,Toronto, Ontario,Sales and Real Estate
94,Gina Clark,28,9,"Dallas, Texas",Ultrasound technician,8,Dallas, Texas,Health
95,Jami Matzke,27,9,"Galveston, Texas",Event planner,9,Galveston, Texas,Service
96,Melissa Buschel,28,11,"Armonk, New York",Event planner,20,Armonk, New York,Service
97,Erin Harper,25,12,"Seattle, Washington",Event planner,14,Seattle, Washington,Service
98,"Kimberly ""Kim"" Jackson",27,9,"Newport Beach, California",Interior designer,11,Newport Beach, California,Entertainment
99,Michele Romero,33,12,"Laguna Niguel, California",Interior designer,21,Laguna Niguel, California,Entertainment
100,Sarah Schnare,30,9,"Nelson, British Columbia",Journalist,12,Nelson, British Columbia,Entertainment
101,Lauren Marchetti,27,17,"Cranston, Rhode Island",Journalist,25,Cranston, Rhode Island,Entertainment
102,Carolyn Vallejo,30,25,"Newburyport, Massachusetts",Journalist,32,Newburyport, Massachusetts,Entertainment
103,Ashley Iaconetti,26,19,"Great Falls, Virginia",Journalist,27,Great Falls, Virginia,Entertainment
104,April Jacobs,23,9,"Chicago, Illinois",Model,13,Chicago,Illinois,Entertainment
105,Lindsey Hawkins,25,11,"Livonia, Michigan",Model,10,Livonia, Michigan,Entertainment
106,Madison Garton,25,15,"Vail, Colorado",Model,17,Vail, Colorado,Entertainment
107,Courtney Robertson,28,16,"Scottsdale, Arizona",Model,1,Scottsdale, Arizona,Entertainment
108,"Kristina ""Kristy"" Kaminski",25,17,"Darien, Wisconsin",Model,14,Darien, Wisconsin,Entertainment
109,Trish Schneider,28,5,"Atlanta, Georgia",Model,4,Atlanta, Georgia,Entertainment
110,Anne-Catherine Labbé,27,5,"Quebec City, Quebec",Model,12,Quebec City, Quebec,Entertainment
111,Angela Amezcua,26,21,"Cumberland, Maryland",Model,23,Cumberland, Maryland,Entertainment
112,Hannah Ann Sluss,23,24,"Powell, Tennessee",Model,1,Powell, Tennessee,Entertainment
113,Brittany Galvin,23,25,"Hinsdale, Illinois",Model,12,Hinsdale, Illinois,Entertainment
114,"Brianna ""Bri"" Barnes",24,23,"Chino Hills, California",Model,16,Chino Hills, California,Entertainment
115,Andrea Shirley,28,9,"Cincinnati, Ohio",Hotel concierge,14,Cincinnati, Ohio,Service
116,Britt Keeder,28,9,"Columbus, Ohio",Beer chemist,15,Columbus, Ohio,Business
117,Claudia Gismondi,22,9,"Boca Raton, Florida",Restaurateur,17,Boca Raton, Florida,Service
118,Elyse Hammer,27,9,"Meadow Vista, California",Physician,19,Meadow Vista, California,Health
119,Kira Mengistu,32,26,"Greensboro, North Carolina",Physician,18,Greensboro, North Carolina,Health
120,Heather Sneed,34,9,"Aliquippa, Pennsylvania",Registered nurse,20,Aliquippa, Pennsylvania,Health
121,Hillary Reisinger,27,11,"Philadelphia, Pennsylvania",Registered nurse,5,Philadelphia, Pennsylvania,Health
122,Jessica Horner,25,9,"Charlotte, North Carolina",Assistant buyer,21,Charlotte, North Carolina,Sales and Real Estate
123,Laura Morgan,29,9,"Spring Valley, California",Dolphin trainer,22,Spring Valley, California,Other
124,Renée Snell,30,9,"Baltimore, Maryland",Broadcast marketer,24,Baltimore, Maryland,Sales and Real Estate
125,Rita Ghazal,29,9,"Richmond, Virginia",Policy advisor,25,Richmond, Virginia,Business
126,Rosella Fratto,27,9,"Homer Glen, Illinois",Make-up artist,26,Homer Glen, Illinois,Service
127,Devon Antin,24,12,"Austin, Texas",Make-up artist,19,Austin, Texas,Service
128,Tessa Horst,26,10,"San Francisco, California",Social Worker,1,San Francisco, California,Education
129,Casandra Suarez,25,25,"Lodi, California",Social Worker,33,Lodi, California,Education
130,"Adrianne ""Jane"" Averbukh",26,23,"West Hollywood, California",Social Worker,27,West Hollywood, California,Education
131,Bevin Nicole Powers,28,10,"Palo Alto, California",Assistant,2,Palo Alto, California,Business
132,Danielle Imwalle,25,10,"Bethel, Connecticut",Graphic Designer,3,Bethel, Connecticut,Entertainment
133,Catherine Giudici,26,17,"Seattle, Washington",Graphic Designer,1,Seattle, Washington,Entertainment
134,"Isabel ""Izzy"" Goodkind",24,20,"Branford, Connecticut",Graphic Designer,23,Branford, Connecticut,Entertainment
135,"Jennifer ""Jenny"" Delaney",25,22,"Northbrook, Illinois",Graphic Designer,20,Northbrook, Illinois,Entertainment
136,Rachael Kirkconnell,24,25,"Cumming, Georgia",Graphic Designer,1,Cumming, Georgia,Entertainment
137,Stephanie Wilhite,23,10,"Overland Park, Kansas",Project Manager,5,Overland Park, Kansas,Business
138,Sonia Sharma,29,27,"Jericho, New York",Project Manager,27,Jericho, New York,Business
139,Tina Wu,26,10,"Lenox Hill, New York",Medical student,6,Lenox Hill, New York,Health
140,Kate Brockhouse,24,10,"Ravenel, South Carolina",Boutique owner,7,Ravenel, South Carolina,Business
141,Nicole Clary,26,10,"Charleston, South Carolina",Sales Manager,8,Charleston, South Carolina,Sales and Real Estate
142,Ida Marie DeLosSantos,23,21,"Harlingen, Texas",Sales Manager,25,Harlingen, Texas,Sales and Real Estate
143,Ency Abedin,28,26,"Burbank, California",Sales Manager,20,Burbank, California,Sales and Real Estate
144,Stephanie Tipper,27,10,"Folly Beach, South Carolina",Organ donor coordinator,9,Folly Beach, South Carolina,Business
145,Amanda Hackney,26,10,"Dallas, Texas",Financial analyst,10,Dallas, Texas,Business
146,Erin Parker,24,10,"Logansport, Louisiana",Financial analyst,11,Logansport, Louisiana,Business
147,Peyton Wright,24,10,"Kingsport, Tennessee",Sorority recruiter,12,Kingsport, Tennessee,Student
148,Susan Anderson,23,10,"The Woodlands, Texas",Boutique manager,14,The Woodlands, Texas,Service
149,Tiffany Warren,28,10,"Boston, Massachusetts",Medical equipment sales rep,15,Boston, Massachusetts,Sales and Real Estate
150,Blakeney Rowe,29,10,"Birmingham, Alabama",Radio sales,16,Birmingham, Alabama,Sales and Real Estate
151,Candice DeCost,23,10,"Hilton Head Island, South Carolina",Waitress,17,Hilton Head Island, South Carolina,Service
152,Kirsten Pittman,25,14,"Aurora, Colorado",Waitress,22,Aurora, Colorado,Service
153,Melissa Schreiber,32,15,"Westport, Connecticut",Waitress,19,Westport, Connecticut,Service
154,Emily Ferguson[a],23,20,"Las Vegas, Nevada",Waitress,6,Las Vegas, Nevada,Service
155,Haley Ferguson[a],23,20,"Las Vegas, Nevada",Waitress,14,Las Vegas, Nevada,Service
156,Britt Nilsson,27,19,"Wolcott Mills, Michigan",Waitress,23,Wolcott Mills, Michigan,Service
157,Catherine Warren,23,10,"Lake Forest, Illinois",Former Miss Illinois,18,Lake Forest, Illinois,Entertainment
158,"Jacqueline ""Jackie"" Topelli",23,10,"Minneapolis, Minnesota",Executive coordinator,20,Minneapolis, Minnesota,Business
159,Jeanette Alvarez,27,10,"Tampa, Florida",Health care manager,21,Tampa, Florida,Health
160,Jessica Devallo,32,10,"New York, New York",Hedge fund analyst,22,New York, New York,Business
161,Tiffany Forester,27,10,"St. Louis Park, Minnesota",Real estate sales/development,25,St. Louis Park, Minnesota,Sales and Real Estate
162,Jenni Croft,27,11,"Wichita, Kansas",Phoenix Suns Cheerleader,2,Wichita, Kansas,Entertainment
163,Sheena Stewart,23,11,"Walnut Creek, California",Internet marketing executive,4,Walnut Creek, California,Sales and Real Estate
164,Kristy Katzmann,29,11,"Gurnee, Illinois",Acupuncturist,6,Gurnee, Illinois,Health
165,McCarten Delaney,26,11,"Lemon Grove, California",Account manager,7,Lemon Grove, California,Sales and Real Estate
166,"Estefania ""Stephy"" Leon",26,11,"Atlanta, Georgia",Executive assistant,8,Atlanta, Georgia,Business
167,Jade Beazley,24,11,"Nashville, Tennessee",Boutique sales worker,9,Nashville, Tennessee,Sales and Real Estate
168,Sarah Newlon,23,11,"O'Fallon, Illinois",Bar manager,11,O'Fallon, Illinois,Service
169,Solisa Shoop,25,11,"Georgetown, Texas",Esthetician,12,Georgetown, Texas,Service
170,Rebecca,30,15,"Mission Viejo, California",Esthetician,28,Mission Viejo, California,Service
171,Amanda Stanton,25,20,"Laguna Beach, California",Esthetician,4,Laguna Beach, California,Service
172,Alexa Caves,27,24,"Springfield, Illinois",Esthetician,18,Springfield, Illinois,Service
173,Juelia Kinney,30,19,"Beaverton, Oregon",Esthetician,17,Beaverton, Oregon,Service
174,Erin Gardner,25,11,"Tampa, Florida",Publishing sales executive,13,Tampa, Florida,Business
175,Jessica Kiss,27,11,"Lady Lake, Florida",News anchor,16,Lady Lake, Florida,Entertainment
176,"Julia ""Juli"" Gilliam",24,11,"Chicago, Illinois",Law student,17,Chicago, Illinois,Law
177,Natalie Velasco,25,11,"Duncanville, Texas",Law student,22,Duncanville, Texas,Law
178,Amanda Petterman,26,12,"Cape Girardeau, Missouri",Law student,17,Cape Girardeau, Missouri,Law
179,Lori Langley,33,11,"Annapolis, Maryland",Biology teacher,19,Annapolis, Maryland,Education
180,Morgan Becker,24,11,"Tempe, Arizona",Graduate student,21,Tempe, Arizona,Student
181,Stacey Elza,26,12,"Chicago, Illinois",Graduate student,23,Chicago, Illinois,Student
182,Regina Doringa,31,11,"San Diego, California",Account representative,23,San Diego, California,Sales and Real Estate
183,Tauni Nessler ,31,11,"St. Louis Park, Minnesota",Emergency room nurse,24,St. Louis Park, Minnesota,Health
184,Susan Coolidge,35,11,"St. Charles, Illinois",Project analyst,25,St. Charles, Illinois,Business
185,Chelsea Wanstrath,25,12,"Durango, Colorado",Pharmaceutical sales rep.,2,Durango, Colorado,Sales and Real Estate
186,Amanda Rantuccio,27,12,"Niceville, Florida",Account Executive,3,Niceville, Florida,Sales and Real Estate
187,Erica DeSimone,25,13,"Monroe, Connecticut",Account Executive,10,Monroe, Connecticut,Sales and Real Estate
188,Kari Fajen,27,13,"Lee's Summit, Missouri",Account Executive,11,Lee's Summit, Missouri,Sales and Real Estate
189,Shelby Callas,23,13,"Stockton, California",Account Executive,23,Stockton, California,Sales and Real Estate
190,Laura Esselman,24,20,"Louisville, Kentucky",Account Executive,25,Louisville, Kentucky,Sales and Real Estate
191,Marshana Ritchie,27,12,"Brooklyn, New York",Fashion designer,5,Brooklyn, New York,Entertainment
192,Robin Canfield,22,12,"Holland, Michigan",Advertising coordinator,6,Holland, Michigan,Sales and Real Estate
193,Ashlee Williss,22,12,"Jacksonville Beach, Florida",Singer-songwriter,7,Jacksonville Beach, Florida,Entertainment
194,Kelly Hark,25,12,"Hollywood, California",Medical sales representative,8,Hollywood, California,Sales and Real Estate
195,Holly Durst,24,12,"Suffield, Ohio",Children's book author,9,Suffield, Ohio,Entertainment
196,Erin Storm,33,12,"San Marcos, California",Vendor,11,San Marcos, California,Service
197,Kristine Heffelfinger,33,12,"Dillsburg, Pennsylvania",Personal trainer,12,Dillsburg, Pennsylvania,Health
198,"Caroline ""Carri"" Perrier",25,12,"Oklahoma City, Oklahoma",Church marketing rep.,13,Oklahoma City, Oklahoma,Sales and Real Estate
199,Michelle Procopio,28,12,"Syracuse, New York",Administrative assistant,15,Syracuse, New York,Business
200,Alyssa Gill,24,12,"Boise, Idaho",Biology student,16,Boise, Idaho,Student
201,Denise Hawthorne,30,12,"Washington, D.C.",Attorney and former White House aide,18,Washington, D.C.,Law
202,Lesley Geyer,23,12,"Tampa, Florida",Youth minister,20,Tampa, Florida,Education
203,Tamara Sketz,23,12,"Beverly Hills, California",Cocktail waitress,24,Beverly Hills, California,Service
204,Tiffany Thornburg,33,12,"San Francisco, California",Real estate marketing rep.,25,San Francisco, California,Sales and Real Estate
205,Melissa Rycroft,25,13,"Dallas, Texas",Sales Representative,1,Dallas, Texas,Sales and Real Estate
206,Molly Malaney,24,13,"Brookfield, Wisconsin",Department Store Buyer,2,Brookfield, Wisconsin,Sales and Real Estate
207,Jillian Harris,29,13,"Peace River, Alberta",Interior Designer,3,Peace River, Alberta,Entertainment
208,Kylie Lewis,23,18,"Rockford, Illinois",Interior Designer,23,Rockford, Illinois,Entertainment
209,Erin A.,24,2,"Houston, Texas",Interior Designer,20,Houston, Texas,Entertainment
210,Demi Burnett,23,23,"Red Oak, Texas",Interior Designer,9,Red Oak, Texas,Entertainment
211,Naomi Crespo,24,13,"Carlsbad, California",Flight Attendant,4,Carlsbad, California,Service
212,Ann Lueders,24,13,"Phoenix, Arizona",Flight Attendant,16,Phoenix, Arizona,Service
213,Heather Cranford,30,2,"Dallas, Texas",Flight Attendant,6,Dallas, Texas,Service
214,Suzanne Freeman,33,2,"Redondo Beach, California",Flight Attendant,13,Redondo Beach, California,Service
215,Lauren Bushnell,25,20,"West Linn, Oregon",Flight Attendant,1,West Linn, Oregon,Service
216,Jasmine Brown,25,21,"Tacoma, Washington",Flight Attendant,26,Tacoma, Washington,Service
217,Eunice Cho,23,24,"Chicago, Illinois",Flight Attendant,25,Chicago, Illinois,Service
218,Megan Hops,26,24,"San Bruno, California",Flight Attendant,31,San Bruno, California,Service
219,Serena Chew,24,25,"San Bruno, California",Flight Attendant,10,San Bruno, California,Service
220,Alissa Giambrone,24,19,"Hamilton, New Jersey",Flight Attendant,30,Hamilton, New Jersey,Service
221,Stephanie Hogan,34,13,"Huntsville, Alabama",Medical Marketing Representative,5,Huntsville, Alabama,Sales and Real Estate
222,Megan Parris,25,13,"Sewickley, Pennsylvania",Lacrosse Coach,7,Sewickley, Pennsylvania,Education
223,Shannon Bair,29,13,"Marshall, Missouri",Dental Hygienist,8,Marshall, Missouri,Health
224,Nicki Sterling,26,16,"Hurst, Texas",Dental Hygienist,3,Hurst, Texas,Health
225,Kristina Schulman,24,21,"Lexington, Kentucky",Dental Hygienist,5,Lexington, Kentucky,Health
226,Kirpa Sudick,26,23,"Whittier, California",Dental Hygienist,5,Whittier, California,Health
227,Nikki Kaapke,29,13,"Blue Island, Illinois",Administrative Assistant,9,Blue Island, Illinois,Business
228,Kacie Boguskie,24,16,"Clarksville, Tennessee",Administrative Assistant,4,Clarksville, Tennessee,Business
229,Kacie Boguskie,25,17,"Clarksville, Tennessee",Administrative Assistant,16,Clarksville, Tennessee,Business
230,Shiann Lewis,27,24,"Las Vegas, Nevada",Administrative Assistant,12,Las Vegas, Nevada,Business
231,Natalie Getz,27,13,"Morton, Illinois",Human Resources Recruiter,12,Morton, Illinois,Business
232,Raquel Medeiros,27,13,"Recife, Pernambuco[a]",Medical Student,13,Recife, Pernambuco[a],Health
233,Lisa Gonzalez,28,13,"Boise, Idaho",Public Relations Associate,15,Boise, Idaho,Sales and Real Estate
234,Dominique Carta,26,13,"Mount Carmel, Pennsylvania",Medical Sales Representative,17,Mount Carmel, Pennsylvania,Sales and Real Estate
235,Brittney Schreiner,26,16,"Colorado Springs, Colorado",Medical Sales Representative,16,Colorado Springs, Colorado,Sales and Real Estate
236,Greer Blitzer,24,27,"Bellaire, Texas",Medical Sales Representative,7,Bellaire, Texas,Sales and Real Estate
237,Katie Morton,26,23,"Oviedo, Florida",Medical Sales Representative,8,Oviedo, Florida,Sales and Real Estate
238,Emily,23,13,"Seattle, Washington",Casino Marketing Representative,18,Seattle, Washington,Sales and Real Estate
239,Jackie Hickley,26,13,"Springfield, Massachusetts",Wedding Coordinator,19,Springfield, Massachusetts,Service
240,Nicole Mah,25,13,"Calgary, Alberta",Menswear Buyer,21,Calgary, Alberta,Sales and Real Estate
241,Renee Simlak,36,13,"Southfield, Michigan",Jewelry Designer,22,Southfield, Michigan,Entertainment
242,Stacia Mann,24,13,"Orem, Utah",Charity Accountant,24,Orem, Utah,Business
243,Treasure Morgan,28,13,"Salt Lake City, Utah",Nurse Practitioner,25,Salt Lake City, Utah,Health
244,Vienna Girardi,23,14,"Geneva, Florida",Marketing Representative,1,Geneva, Florida,Sales and Real Estate
245,Tenley Molzahn,25,14,"Newberg, Oregon",College Admissions,2,Newberg, Oregon,Education
246,Gia Allemand,26,14,"Manorville, New York",Swimsuit Model,3,Manorville, New York,Entertainment
247,Ali Fedotowsky,25,14,"Williamstown, Massachusetts",Advertising Account Manager,4,Williamstown, Massachusetts,Sales and Real Estate
248,Samantha Levey,26,16,"Pittsburgh, Pennsylvania",Advertising Account Manager,13,Pittsburgh, Pennsylvania,Sales and Real Estate
249,Jaclyn Swartz,27,16,"Newton, Massachusetts",Advertising Account Manager,15,Newton, Massachusetts,Sales and Real Estate
250,Corrie Adamson,23,14,"Kissimmee, Florida",Wardrobe Consultant,5,Kissimmee, Florida,Service
251,Ashleigh Hunt,25,14,"North Potomac, Maryland",Account Manager,6,North Potomac, Maryland,Sales and Real Estate
252,Chantel Forrest,27,18,"Miami, Florida",Account Manager,17,Miami, Florida,Sales and Real Estate
253,DeShaun Warner,25,5,"Phillipsburg, New Jersey",Account Manager,19,Phillipsburg, New Jersey,Sales and Real Estate
254,Dolores Farburg,26,5,"Madison, New Jersey",Account Manager,20,Madison, New Jersey,Sales and Real Estate
255,Susannah Milan,26,21,"Jamul, California",Account Manager,30,Jamul, California,Sales and Real Estate
256,"Jessica ""Jessie"" Sulidis",25,14,"Oakville, Ontario",Cosmetic Sales Manager,7,Oakville, Ontario,Sales and Real Estate
257,Kathryn Sherlock,25,14,"Lexington, Kentucky",Corporate Flight Attendant,8,Lexington, Kentucky,Service
258,Ella Nolan,30,14,"La Follette, Tennessee",Hair Stylist,9,La Follette, Tennessee,Service
259,Ashley Palenkas,28,17,"Macomb, Michigan",Hair Stylist,21,Macomb, Michigan,Service
260,Ashley Salter,24,19,"Vinings, Georgia",Hair Stylist,26,Vinings, Georgia,Service
261,Valishia Savage,32,14,"San Bernardino, California",Homemaker,11,San Bernardino, California,Other
262,Michelle Kujawa,26,14,"Anaheim, California",Office Manager,12,Anaheim, California,Business
263,Christina McCasland,25,14,"Encinitas, California",Restaurant Manager,14,Encinitas, California,Service
264,Rozlyn Papa,28,14,"Richmond, Virginia",Model/Make-Up Artist,15,Richmond, Virginia,Service
265,"Alexa ""Lex"" McAllister",25,14,"Galloway, Ohio",Entrepreneur,16,Galloway, Ohio,Business
266,Keriann Miranda,29,17,"Agoura Hills, California",Entrepreneur,23,Agoura Hills, California,Business
267,Mara Agrait,32,26,"Collingswood, New Jersey",Entrepreneur,10,Collingswood, New Jersey,Business
268,Brianna Thorbourne,24,27,"Jersey City, New Jersey",Entrepreneur,16,Jersey City, New Jersey,Business
269,Caitlyn McCabe,24,14,"Winfield, Illinois",Spokesmodel,17,Winfield, Illinois,Entertainment
270,Channy Choch,29,14,"Santa Rosa, California",Mortgage Loan Officer,18,Santa Rosa, California,Business
